Sesion,Choice_4,Choice_5,BO1_4,BO1_5,BOP1_4,BOP1_5,BA1_4,BA1_5,BAP1_4,BAP1_5,DO1_4,DO1_5,DOP_4,DOP_5,DA_4,DA_5,DAP_4,DAP_5,aDO1_4,aDO1_5,aDOP_4,aDOP_5,aDA_4,aDA_5,aDAP_4,aDAP_5,rDO1_4,rDO1_5,rDOP_4,rDOP_5,rDA_4,rDA_5,rDAP_4,rDAP_5,nDO1_4,nDO1_5,nDOP_4,nDOP_5,nDA_4,nDA_5,nDAP_4,nDAP_5
1,7,23,25,40,16.66667,26.66667,19,34.3333,12.66667,22.88889,18,17,9.66666,3.66666,12,11.33333,5.66666,-0.111111,18,17,9.66666,3.66666,12,11.33333,5.66666,0.111111,-1.125,-0.54,-0.817,-0.148,-0.923,-0.395,-0.576,0.005,1.459,0.305,0.784,0.066,0.973,0.204,0.459,-0.002
2,28,25,34,40,22.66667,26.66667,32,35,21.33333,23.33333,6,15,-5.33333,1.666667,4,10,-6.6666,-1.66666,6,15,5.33333,1.666667,4,10,6.6666,1.66666,-0.194,-0.462,0.211,-0.065,-0.133,-0.333,0.27,0.069,0.194,0.23,-0.172,0.026,0.129,0.153,-0.215,-0.026
3,81,16,65.5,32,43.6667,21.3333,70.66667,26.66667,47.11111,17.77778,-15.5,16,-37.33333,5.33333,-10.33333,10.66667,-33.88888,1.77777,15.5,16,37.33333,5.33333,10.33333,10.66667,33.88888,1.77777,0.212,-0.667,0.599,-0.286,0.136,-0.5,0.529,-0.105,-0.277,0.585,-0.667,0.195,-0.185,0.39,-0.605,0.065
4,14,15,18,13,12,8.6666,16.66667,13.66667,11.11111,9.11111,4,-2,-2,-6.33333,2.66666,-1.3333,-2.888888,-5.88888,4,2,2,6.33333,2.66666,1.3333,2.888888,5.88888,-0.25,0.143,0.154,0.535,-0.174,0.093,0.23,0.488,0.231,-0.086,-0.115,-0.271,0.154,-0.057,-0.167,-0.252
5,3,22,11,67.5,7.3333,45,8.3333,52.3333,5.55555,34.88888,8,45.5,4.33333,23,5.3333,30.33333,2.555555,12.88888,8,45.5,4.33333,23,5.3333,30.33333,2.555555,12.88888,-1.143,-1.017,-0.839,-0.687,-0.941,-0.816,-0.597,-0.453,1.091,1.437,0.591,0.726,0.727,0.958,0.348,0.407
6,23,13,16,23,10.66667,15.3333,18.3333,19.66667,12.22222,13.11111,-7,10,-12.33333,2.333333,-4.66667,6.66666,-10.77777,0.111111,7,10,12.33333,2.333333,4.66667,6.66666,10.77777,0.111111,0.359,-0.556,0.733,-0.165,0.226,-0.408,0.612,-0.009,-0.3,0.476,-0.529,0.111,-0.2,0.317,-0.462,0.005
7,15,28,20.5,41,13.66667,27.3333,18.66667,36.66667,12.44444,24.44444,5.5,13,-1.33333,-0.666666,3.66666,8.666666,-2.555555,-3.55555,5.5,13,1.33333,0.666666,3.66666,8.666666,2.555555,3.55555,-0.31,-0.377,0.093,0.024,-0.218,-0.268,0.186,-136,0.154,0.368,-0.037,-0.019,0.103,0.245,-0.072,-0.101
8,25,40,25,40,16.6667,26.66667,25,40,16.66667,26.66667,0,0,-8.333333,-13.33333,0,0,-8.33333,-13.33333,0,0,8.333333,13.33333,0,0,8.33333,13.33333,0,0,0.4,0.4,0,0,0.4,0.4,0,0,-0.305,-0.488,0,0,-0.305,-0.488
9,25,55,25.5,47.5,17,31.66667,25.33333,50,16.88889,33.33333,0.5,-7.5,-8,-23.33333,0.33333,-5,-8.1111,-21.66666,0.5,7.5,8,23.33333,0.33333,5,8.1111,21.66666,-0.02,0.146,0.381,0.538,-0.013,0.095,0.387,0.491,0.016,-0.169,-0.255,-0.526,0.01,-0.11,-0.259,-0.489
10,30,35,30,40,20,26.66666,30,38.33333,20,25.55555,0,5,-10,-8.33333,0,3.3333333,-10,-9.444444,0,5,10,8.33333,0,3.3333333,10,9.444444,0,-0.133,0.4,0.27,0,-0.091,0.4,0.312,0,0.183,-0.261,-0.305,0,0.12,-0.261,-0.346
