Jugador,Periodo 1,Periodo 2,Periodo 3,Periodo 4,Periodo 5,Periodo 6,Periodo 7,Periodo 8
A,-32.5,17.5,29,10,-32,8.5,-10,0
A,6,-28,-4,1.5,-45.5,14,2.5,17.5
A,1,3,18.5,22,-1,24,11.5,25
A,5.5,-23,5,-1,-14.5,-3.5,0.5,6
A,-7.5,8.5,0,1.5,31,3.5,2.5,3.5
A,-23.5,-12.5,-36,-7.5,-2,2,1.5,3
A,-11,-0.5,38.5,-25.5,2,-4.5,12,-2.5
A,25,-5,-9,-3.5,19,-9.5,-39,0
A,-3,32,-6,-9,8.5,13,2,-0.5
A,5,-11,7.5,-12.5,16.5,9.5,-3,9.5
NO_A,-33,-12,4.75,25,28.5,8.25,13.25,8.25
NO_A,-20.25,-6,6.25,13.5,-38.5,0.75,-28.25,4.75
NO_A,-28.25,2.5,15.75,-46,-1.5,15.5,7,-19.25
NO_A,22.25,-0.5,1.75,10.5,12.25,5.25,-1.25,7.25
NO_A,3.25,15.5,5,8.25,5.25,20.75,4.5,7
NO_A,11,-8.75,12,12.75,3,-2.25,9.75,8.75
NO_A,-6.5,4.25,18.75,2.25,-8.5,-5.5,3,6.25
NO_A,18.75,1.25,6.5,0.25,15.25,12.25,-7,12.25
NO_A,-37.5,-9.75,2,5.25,-21.5,-3,2.5,3
NO_A,-23.75,12,2.5,8.75,30.5,13.25,6.5,12
