Periodo 5n,Periodo 6n,Periodo 7n,Periodo 8n,Periodo 5np,Periodo 6np,Periodo 7np,Periodo 8np,Periodo 5r,Periodo 6r,Periodo 7r,Periodo 8r,Periodo 5rp,Periodo 6rp,Periodo 7rp,Periodo 8rp
0.19760479,0.396226415,0.5,-0.178571429,-0.191616766,0.018867925,-0.028985507,-0.738095238,0.18487395,0.424242424,0.37398374,-0.101010101,-0.219178082,0.025316456,-0.027027027,-0.496
-1.132653061,0.031578947,-1.044,-0.227272727,-1.209183673,-0.178947368,-1.2,-0.560606061,-1.423076923,0.051282051,-1.054545455,-0.204081633,-1.595959596,-0.350515464,-1.315789474,-0.592
-0.731707317,0.61875,0.12,0.08,-1.219512195,0.1,-0.36,-0.133333333,-0.4,0.496240602,0.086956522,0.133333333,-0.769230769,0.101265823,-0.315789474,-0.27027027
0.857142857,-0.267857143,0,0.45,0.071428571,-0.625,-0.283018868,0,0.444444444,-0.222222222,0,0.4,0.046511628,-0.608695652,-0.4,0
0.347368421,1.327868852,0,1.333333333,0.147368421,0.31147541,-0.375,0.611111111,0.814814815,0.556701031,0,0.888888889,0.451612903,0.165938865,-0.4,0.536585366
-0.357142857,-0.131578947,0.821428571,1.857142857,-0.428571429,-0.526315789,0.380952381,1.047619048,-0.909090909,-0.105263158,0.901960784,1.238095238,-1.2,-0.5,0.551724138,0.956521739
-0.735849057,-0.235955056,0.339622642,0.461538462,-1.037735849,-0.516853933,-0.037735849,0.153846154,-0.577777778,-0.245614035,0.352941176,0.666666667,-0.924369748,-0.630136986,-0.048780488,0.285714286
0.914634146,0.569620253,0,1.241935484,0.292682927,-0.063291139,-0.314685315,0.677419355,0.649350649,0.352941176,0,1.157894737,0.266666667,-0.048780488,-0.4,0.857142857
-0.789473684,-0.018987342,0.295081967,-0.1,-0.977443609,-0.316455696,-0.163934426,-0.444444444,-0.823529412,-0.021052632,0.24,-0.092307692,-1.130434783,-0.420168067,-0.163934426,-0.487804878
1.37195122,0.654929577,0.453488372,0.776785714,0.731707317,0.112676056,0.093023256,0.142857143,1.111111111,0.504065041,0.530612245,0.513274336,0.8,0.109589041,0.137931034,0.119402985
-0.053892216,-0.028301887,0.065217391,0.607142857,-0.574850299,-0.462264151,-0.391304348,0.19047619,-0.033898305,-0.021505376,0.048780488,0.641509434,-0.432432432,-0.420600858,-0.352941176,0.258064516
-0.971938776,-0.536842105,-0.192,0.181818182,-1.066326531,-0.947368421,-0.264,-0.242424242,-1.263681592,-0.357894737,-0.615384615,0.153846154,-1.477031802,-0.731707317,-0.956521739,-0.25
0,0.84375,0.3,0.18,-0.073170732,0.275,-0.12,0.04,0,0.656934307,0.27027027,0.545454545,-0.4,0.275,-0.133333333,0.153846154
-0.342857143,0.133928571,0.481132075,1.45,-0.514285714,-0.285714286,0.075471698,0.7,-0.5,0.112359551,0.492753623,0.950819672,-0.857142857,-0.290909091,0.097560976,0.608695652
-0.473684211,0.319672131,-0.0375,0.25,-1,0.032786885,-0.475,-0.388888889,-0.260869565,0.456140351,-0.028169014,0.139534884,-0.644067797,0.058823529,-0.426966292,-0.264150943
0.071428571,-0.263157895,0.464285714,0.214285714,-0.555555556,-0.438596491,-0.214285714,-0.428571429,0.038709677,-0.4,0.257425743,0.117647059,-0.362694301,-0.769230769,-0.146341463,-0.285714286
-0.056603774,-0.52247191,0.283018868,0,-0.226415094,-0.741573034,-0.150943396,-0.538461538,-0.105263158,-0.568807339,0.243902439,0,-0.5,-0.916666667,-0.16,-0.4
0.896341463,0,-1.164335664,-0.596774194,0.402439024,-0.303797468,-1.321678322,-0.946236559,0.867256637,0,-1.104477612,-0.443113772,0.511627907,-0.4,-1.35483871,-0.80733945
0.180451128,0.284810127,-0.073770492,0.2,-0.015037594,-0.063291139,-0.360655738,-0.222222222,0.363636364,0.315789474,-0.082191781,0.171428571,-0.037735849,-0.086956522,-0.47826087,-0.23255814
1.280487805,0.232394366,-0.191860465,0.616071429,0.463414634,-0.23943662,-0.627906977,0.142857143,0.707070707,0.178861789,-0.136645963,0.554216867,0.330434783,-0.225165563,-0.529411765,0.163265306
