Sesion,Subjuego,Periodo,EA,EB,EC,Promedio,Objetivo,Target - C1,Target - C2,Target - C3,B1a,B1b,BO1,BOP1,BA1,BAP1,DO1,DOP1,DA1,DAP1,DO1n,DOP1n,DA1n,DAP1n,DO1a,DOP1a,DA1a,DAP1a,DO1na,DOP1na,DA1na,DAP1na,W1,G1,B2a,B2b,BO2,BOP2,BA2,BAP2,DO2,DOP2,DA2,DAP2,DO2n,DOP2n,DA2n,DAP2n,DO2a,DOP2a,DA2a,DAP2a,DO2na,DOP2na,DA2na,DAP2na,W2,G2,CC1,CC2,BO3,BOP3,BA3,BAP3,DO3,DOP3,DA3,DAP3,DO3n,DOP3n,DA3n,DAP3n,DO3a,DOP3a,DA3a,DAP3a,DO3na,DOP3na,DA3na,DAP3na,W3,G3,Puntos1,Puntos2,Puntos3,TA,TB,TC,
1,2,1,23,54,90,55.66666667,37.11111111,14.11111111,-16.88888889,-52.88888889,20,60,40,26.66666667,34.33333333,22.88888889,17,3.666666667,11.33333333,-0.111111111,0.305389222,0.065868263,0.203592814,-0.001996008,17,3.666666667,11.33333333,0.111111111,0.305389222,0.065868263,0.203592814,0.001996008,1,1,85,45,65,43.33333333,61.33333333,40.88888889,11,-10.66666667,7.333333333,-13.11111111,0.19760479,-0.191616766,0.131736527,-0.235528942,11,10.66666667,7.333333333,13.11111111,0.19760479,0.191616766,0.131736527,0.235528942,0,1,75,99,87,58,88,58.66666667,-3,-32,-2,-31.33333333,-0.053892216,-0.574850299,-0.035928144,-0.562874251,3,32,2,31.33333333,0.053892216,0.574850299,0.035928144,0.562874251,0,0,6,1,0,,,,
1,2,2,33,26,47,35.33333333,23.55555556,-9.444444444,-2.444444444,-23.44444444,70,20,45,30,41,27.33333333,12,-3,8,-5.666666667,0.339622642,-0.08490566,0.226415094,-0.160377358,12,3,8,5.666666667,0.339622642,0.08490566,0.226415094,0.160377358,0,2,45,35,40,26.66666667,35.33333333,23.55555556,14,0.666666667,9.333333333,-2.444444444,0.396226415,0.018867925,0.264150943,-0.06918239,14,0.666666667,9.333333333,2.444444444,0.396226415,0.018867925,0.264150943,0.06918239,1,2,59,33,46,30.66666667,46.33333333,30.88888889,-1,-16.33333333,-0.666666667,-16.11111111,-0.028301887,-0.462264151,-0.018867925,-0.455974843,1,16.33333333,0.666666667,16.11111111,0.028301887,0.462264151,0.018867925,0.455974843,0,1,0,8,1,,,,
1,2,3,14,25,30,23,15.33333333,1.333333333,-9.666666667,-14.66666667,20,15,17.5,11.66666667,16.33333333,10.88888889,3.5,-2.333333333,2.333333333,-3.111111111,0.152173913,-0.101449275,0.101449275,-0.1352657,3.5,2.333333333,2.333333333,3.111111111,0.152173913,0.101449275,0.101449275,0.1352657,1,1,47,26,36.5,24.33333333,32.66666667,21.77777778,11.5,-0.666666667,7.666666667,-3.222222222,0.5,-0.028985507,0.333333333,-0.140096618,11.5,0.666666667,7.666666667,3.222222222,0.5,0.028985507,0.333333333,0.140096618,0,1,28,35,31.5,21,31,20.66666667,1.5,-9,1,-9.333333333,0.065217391,-0.391304348,0.043478261,-0.405797101,1.5,9,1,9.333333333,0.065217391,0.391304348,0.043478261,0.405797101,0,1,7,1,1,,,,
1,2,4,7,26,9,14,9.333333333,2.333333333,-16.66666667,0.333333333,20,15,17.5,11.66666667,14,9.333333333,10.5,4.666666667,7,2.333333333,0.75,0.333333333,0.5,0.166666667,10.5,4.666666667,7,2.333333333,0.75,0.333333333,0.5,0.166666667,0,0,15,32,23.5,15.66666667,24.33333333,16.22222222,-2.5,-10.33333333,-1.666666667,-9.777777778,-0.178571429,-0.738095238,-0.119047619,-0.698412698,2.5,10.33333333,1.666666667,9.777777778,0.178571429,0.738095238,0.119047619,0.698412698,0,0,20,15,17.5,11.66666667,14.66666667,9.777777778,8.5,2.666666667,5.666666667,0.777777778,0.607142857,0.19047619,0.404761905,0.055555556,8.5,2.666666667,5.666666667,0.777777778,0.607142857,0.19047619,0.404761905,0.055555556,1,0,0,0,6,13,10,8,
2,2,1,25,89,82,65.33333333,43.55555556,18.55555556,-45.44444444,-38.44444444,30,50,40,26.66666667,35,23.33333333,15,1.666666667,10,-1.666666667,0.229591837,0.025510204,0.153061224,-0.025510204,15,1.666666667,10,1.666666667,0.229591837,0.025510204,0.153061224,0.025510204,1,1,9,21,15,10,39.66666667,26.44444444,-74,-79,-49.33333333,-62.55555556,-1.132653061,-1.209183673,-0.755102041,-0.957482993,74,79,49.33333333,62.55555556,1.132653061,1.209183673,0.755102041,0.957482993,0,1,11,26,18.5,12.33333333,39.66666667,26.44444444,-63.5,-69.66666667,-42.33333333,-55.55555556,-0.971938776,-1.066326531,-0.647959184,-0.850340136,63.5,69.66666667,42.33333333,55.55555556,0.971938776,1.066326531,0.647959184,0.850340136,0,1,6,1,1,,,,
2,2,2,20,19,56,31.66666667,21.11111111,1.111111111,2.111111111,-34.88888889,43,60,51.5,34.33333333,41,27.33333333,31.5,14.33333333,21,7.333333333,0.994736842,0.452631579,0.663157895,0.231578947,31.5,14.33333333,21,7.333333333,0.994736842,0.452631579,0.663157895,0.231578947,1,0,10,30,20,13.33333333,19.66666667,13.11111111,1,-5.666666667,0.666666667,-5.888888889,0.031578947,-0.178947368,0.021052632,-0.185964912,1,5.666666667,0.666666667,5.888888889,0.031578947,0.178947368,0.021052632,0.185964912,0,0,32,46,39,26,44.66666667,29.77777778,-17,-30,-11.33333333,-26.22222222,-0.536842105,-0.947368421,-0.357894737,-0.828070175,17,30,11.33333333,26.22222222,0.536842105,0.947368421,0.357894737,0.828070175,0,0,7,0,0,,,,
2,2,3,45,63,17,41.66666667,27.77777778,-17.22222222,-35.22222222,10.77777778,15,70,42.5,28.33333333,43.33333333,28.88888889,-2.5,-16.66666667,-1.666666667,-16.11111111,-0.06,-0.4,-0.04,-0.386666667,2.5,16.66666667,1.666666667,16.11111111,0.06,0.4,0.04,0.386666667,0,1,22,17,19.5,13,34,22.66666667,-43.5,-50,-29,-40.33333333,-1.044,-1.2,-0.696,-0.968,43.5,50,29,40.33333333,1.044,1.2,0.696,0.968,0,1,6,12,9,6,11.66666667,7.777777778,-8,-11,-5.333333333,-9.222222222,-0.192,-0.264,-0.128,-0.221333333,8,11,5.333333333,9.222222222,0.192,0.264,0.128,0.221333333,1,0,1,1,6,,,,
2,2,4,15,27,24,22,14.66666667,-0.333333333,-12.33333333,-9.333333333,56,30,43,28.66666667,33.66666667,22.44444444,28,13.66666667,18.66666667,7.444444444,1.272727273,0.621212121,0.848484848,0.338383838,28,13.66666667,18.66666667,7.444444444,1.272727273,0.621212121,0.848484848,0.338383838,1,1,32,12,22,14.66666667,23.66666667,15.77777778,-5,-12.33333333,-3.333333333,-11.22222222,-0.227272727,-0.560606061,-0.151515152,-0.51010101,5,12.33333333,3.333333333,11.22222222,0.227272727,0.560606061,0.151515152,0.51010101,0,1,31,25,28,18.66666667,26.66666667,17.77777778,4,-5.333333333,2.666666667,-6.222222222,0.181818182,-0.242424242,0.121212121,-0.282828283,4,5.333333333,2.666666667,6.222222222,0.181818182,0.242424242,0.121212121,0.282828283,0,1,7,1,1,21,3,8,
3,2,1,16,60,6,27.33333333,18.22222222,2.222222222,-41.77777778,12.22222222,46,18,32,21.33333333,26.66666667,17.77777778,16,5.333333333,10.66666667,1.777777778,0.585365854,0.195121951,0.390243902,0.06504065,16,5.333333333,10.66666667,1.777777778,0.585365854,0.195121951,0.390243902,0.06504065,1,0,50,30,40,26.66666667,46.66666667,31.11111111,-20,-33.33333333,-13.33333333,-28.88888889,-0.731707317,-1.219512195,-0.487804878,-1.056910569,20,33.33333333,13.33333333,28.88888889,0.731707317,1.219512195,0.487804878,1.056910569,0,0,7,5,6,4,6,4,0,-2,0,-2,0,-0.073170732,0,-0.073170732,0,2,0,2,0,0.073170732,0,0.073170732,0,0,6,0,0,,,,
3,2,2,32,25,23,26.66666667,17.77777778,-14.22222222,-7.222222222,-5.222222222,56,40,48,32,42.66666667,28.44444444,16,0,10.66666667,-3.555555556,0.6,0,0.4,-0.133333333,16,0,10.66666667,3.555555556,0.6,0,0.4,0.133333333,0,1,18,65,41.5,27.66666667,36,24,16.5,2.666666667,11,-1,0.61875,0.1,0.4125,-0.0375,16.5,2.666666667,11,1,0.61875,0.1,0.4125,0.0375,0,1,73,18,45.5,30.33333333,38,25.33333333,22.5,7.333333333,15,2.333333333,0.84375,0.275,0.5625,0.0875,22.5,7.333333333,15,2.333333333,0.84375,0.275,0.5625,0.0875,1,0,0,1,6,,,,
3,2,3,12,22,16,16.66666667,11.11111111,-0.888888889,-10.88888889,-4.888888889,42,19,30.5,20.33333333,24.33333333,16.22222222,18.5,8.333333333,12.33333333,4.222222222,1.11,0.5,0.74,0.253333333,18.5,8.333333333,12.33333333,4.222222222,1.11,0.5,0.74,0.253333333,1,1,16,32,24,16,23.33333333,15.55555556,2,-6,1.333333333,-6.444444444,0.12,-0.36,0.08,-0.386666667,2,6,1.333333333,6.444444444,0.12,0.36,0.08,0.386666667,0,1,11,31,21,14,19.33333333,12.88888889,5,-2,3.333333333,-3.111111111,0.3,-0.12,0.2,-0.186666667,5,2,3.333333333,3.111111111,0.3,0.12,0.2,0.186666667,0,1,7,1,1,,,,
3,2,4,55,14,6,25,16.66666667,-38.33333333,2.666666667,10.66666667,49,21,35,23.33333333,41.66666667,27.77777778,-20,-31.66666667,-13.33333333,-27.22222222,-0.8,-1.266666667,-0.533333333,-1.088888889,20,31.66666667,13.33333333,27.22222222,0.8,1.266666667,0.533333333,1.088888889,0,0,12,20,16,10.66666667,15.33333333,10.22222222,2,-3.333333333,1.333333333,-3.777777778,0.08,-0.133333333,0.053333333,-0.151111111,2,3.333333333,1.333333333,3.777777778,0.08,0.133333333,0.053333333,0.151111111,1,0,18,3,10.5,7,9,6,4.5,1,3,0,0.18,0.04,0.12,0,4.5,1,3,0,0.18,0.04,0.12,0,0,1,0,6,1,13,8,8,
4,2,1,15,35,20,23.33333333,15.55555556,0.555555556,-19.44444444,-4.444444444,6,20,13,8.666666667,13.66666667,9.111111111,-2,-6.333333333,-1.333333333,-5.888888889,-0.085714286,-0.271428571,-0.057142857,-0.252380952,2,6.333333333,1.333333333,5.888888889,0.085714286,0.271428571,0.057142857,0.252380952,1,0,40,70,55,36.66666667,48.33333333,32.22222222,20,1.666666667,13.33333333,-2.777777778,0.857142857,0.071428571,0.571428571,-0.119047619,20,1.666666667,13.33333333,2.777777778,0.857142857,0.071428571,0.571428571,0.119047619,0,0,7,17,12,8,14.66666667,9.777777778,-8,-12,-5.333333333,-10.22222222,-0.342857143,-0.514285714,-0.228571429,-0.438095238,8,12,5.333333333,10.22222222,0.342857143,0.514285714,0.228571429,0.438095238,0,1,7,0,1,,,,
4,2,2,10,25,21,18.66666667,12.44444444,2.444444444,-12.55555556,-8.555555556,15,24,19.5,13,16.33333333,10.88888889,9.5,3,6.333333333,0.888888889,0.508928571,0.160714286,0.339285714,0.047619048,9.5,3,6.333333333,0.888888889,0.508928571,0.160714286,0.339285714,0.047619048,1,1,10,30,20,13.33333333,21.66666667,14.44444444,-5,-11.66666667,-3.333333333,-10.55555556,-0.267857143,-0.625,-0.178571429,-0.56547619,5,11.66666667,3.333333333,10.55555556,0.267857143,0.625,0.178571429,0.56547619,0,1,28,19,23.5,15.66666667,22.66666667,15.11111111,2.5,-5.333333333,1.666666667,-5.888888889,0.133928571,-0.285714286,0.089285714,-0.31547619,2.5,5.333333333,1.666666667,5.888888889,0.133928571,0.285714286,0.089285714,0.31547619,0,1,7,1,1,,,,
4,2,3,25,15,13,17.66666667,11.77777778,-13.22222222,-3.222222222,-1.222222222,17,12,14.5,9.666666667,18,12,-10.5,-15.33333333,-7,-13,-0.594339623,-0.867924528,-0.396226415,-0.735849057,10.5,15.33333333,7,13,0.594339623,0.867924528,0.396226415,0.735849057,0,2,20,10,15,10,15,10,0,-5,0,-5,0,-0.283018868,0,-0.283018868,0,5,0,5,0,0.283018868,0,0.283018868,0,2,15,28,21.5,14.33333333,18.66666667,12.44444444,8.5,1.333333333,5.666666667,-0.555555556,0.481132075,0.075471698,0.320754717,-0.031446541,8.5,1.333333333,5.666666667,0.555555556,0.481132075,0.075471698,0.320754717,0.031446541,1,2,2,2,8,,,,
4,2,4,13,9,8,10,6.666666667,-6.333333333,-2.333333333,-1.333333333,12,17,14.5,9.666666667,14,9.333333333,1.5,-3.333333333,1,-3.666666667,0.15,-0.333333333,0.1,-0.366666667,1.5,3.333333333,1,3.666666667,0.15,0.333333333,0.1,0.366666667,0,2,17,10,13.5,9,12,8,4.5,0,3,-1,0.45,0,0.3,-0.1,4.5,0,3,1,0.45,0,0.3,0.1,0,2,29,16,22.5,15,17.66666667,11.77777778,14.5,7,9.666666667,3.777777778,1.45,0.7,0.966666667,0.377777778,14.5,7,9.666666667,3.777777778,1.45,0.7,0.966666667,0.377777778,1,1,1,2,7,17,5,17,
5,2,1,22,8,65,31.66666667,21.11111111,-0.888888889,13.11111111,-43.88888889,65,70,67.5,45,52.33333333,34.88888889,45.5,23,30.33333333,12.88888889,1.436842105,0.726315789,0.957894737,0.407017544,45.5,23,30.33333333,12.88888889,1.436842105,0.726315789,0.957894737,0.407017544,1,1,15,23,19,12.66666667,15.33333333,10.22222222,11,4.666666667,7.333333333,2.222222222,0.347368421,0.147368421,0.231578947,0.070175439,11,4.666666667,7.333333333,2.222222222,0.347368421,0.147368421,0.231578947,0.070175439,0,1,30,70,50,33.33333333,55,36.66666667,-15,-31.66666667,-10,-28.33333333,-0.473684211,-1,-0.315789474,-0.894736842,15,31.66666667,10,28.33333333,0.473684211,1,0.315789474,0.894736842,0,0,7,1,0,,,,
5,2,2,15,35,11,20.33333333,13.55555556,-1.444444444,-21.44444444,2.555555556,33,20,26.5,17.66666667,22.66666667,15.11111111,11.5,2.666666667,7.666666667,0.111111111,0.56557377,0.131147541,0.37704918,0.005464481,11.5,2.666666667,7.666666667,0.111111111,0.56557377,0.131147541,0.37704918,0.005464481,1,0,58,66,62,41.33333333,53,35.33333333,27,6.333333333,18,0.333333333,1.327868852,0.31147541,0.885245902,0.016393443,27,6.333333333,18,0.333333333,1.327868852,0.31147541,0.885245902,0.016393443,0,0,30,5,17.5,11.66666667,15.33333333,10.22222222,6.5,0.666666667,4.333333333,-0.777777778,0.319672131,0.032786885,0.213114754,-0.038251366,6.5,0.666666667,4.333333333,0.777777778,0.319672131,0.032786885,0.213114754,0.038251366,0,1,7,0,1,,,,
