Nuevo,Periodo,Periodo2,MOT-1,CREA
0,2,4,57.5,-1.007518797
0,3,9,42.5,-0.2
0,4,16,16,-1.176470588
1,5,25,15,1.066666667
0,6,36,72,0.357142857
0,7,49,36.5,-0.808510638
0,8,64,27.5,-0.666666667
0,2,4,44,-0.857142857
0,3,9,48.5,0.4
0,4,16,35,-0.727272727
1,5,25,32.5,-0.113207547
0,6,36,85.5,-0.222222222
0,7,49,37.5,0.769230769
0,8,64,40,-1
0,2,4,30,0.222222222
0,3,9,38.5,0.461538462
0,4,16,20,-0.526315789
1,5,25,19,0.068965517
0,6,36,27.5,-0.4
0,7,49,23,0.857142857
0,8,64,14,-0.631578947
0,2,4,68,-0.256410256
0,3,9,34,-0.72
0,4,16,21.5,-0.909090909
1,5,25,9.5,1.52
0,6,36,36.5,-0.378378378
0,7,49,23,-0.727272727
0,8,64,16.5,-0.8
0,2,4,31.5,0.7
0,3,9,30.5,-0.7
0,4,16,57,0.555555556
1,5,25,23.5,-0.555555556
0,6,36,25,0.266666667
0,7,49,20,-0.266666667
0,8,64,14.5,-0.888888889
0,2,4,46,-0.333333333
0,3,9,38,0.076923077
0,4,16,9,-0.571428571
1,5,25,46,0.604651163
0,6,36,39,-0.24
0,7,49,33.5,-0.046511628
0,8,64,16,-0.048780488
0,2,4,25,-0.153846154
0,3,9,35,-0.181818182
0,4,16,34,0
1,5,25,28.5,0.461538462
0,6,36,21,-0.666666667
0,7,49,29.5,0
0,8,64,61.5,0.333333333
0,2,4,50.5,0.2
0,3,9,25.5,-0.588235294
0,4,16,36,-0.181818182
1,5,25,34.5,0.75
0,6,36,39,-0.444444444
0,7,49,22,-0.545454545
0,8,64,20.5,-0.5
0,2,4,35,-1.272727273
0,3,9,46,0.666666667
0,4,16,35,-0.285714286
1,5,25,42.5,0.153846154
0,6,36,23.5,-0.545454545
0,7,49,25.5,0.222222222
0,8,64,30.5,-0.222222222
