Subjuego,Subjuego2,Var
1,1,1730.56
1,1,18.49
1,1,1.69
1,1,327.61
2,4,17.64
2,4,112.36
2,4,38.44
2,4,116.64
1,1,1730.56
1,1,127.69
1,1,1176.49
1,1,8.41
2,4,4.84
2,4,5.76
2,4,615.04
2,4,7.84
1,1,1413.76
1,1,13.69
1,1,515.29
1,1,3124.81
2,4,125.44
2,4,92.16
2,4,67.24
2,4,1383.84
1,1,2152.96
1,1,187.69
1,1,2.89
1,1,123.21
2,4,148.84
2,4,153.76
2,4,23.04
2,4,23.04
1,1,1324.96
1,1,136.89
1,1,313.29
1,1,488.41
2,4,27.04
2,4,54.76
2,4,174.24
2,4,219.04
1,1,2061.16
1,1,2.89
1,1,161.29
1,1,4.41
2,4,201.64
2,4,29.16
2,4,51.84
2,4,163.84
1,1,547.56
1,1,13.69
1,1,1.69
1,1,102.01
2,4,0.64
2,4,0.16
2,4,0.64
2,4,4.84
1,1,547.56
1,1,1.69
1,1,0.49
1,1,0.01
2,4,163.84
2,4,5.76
2,4,0.04
2,4,104.04
1,1,179.56
1,1,691.69
1,1,18.49
1,1,0.01
2,4,772.84
2,4,158.76
2,4,0.04
2,4,33.64
1,1,998.56
1,1,75.69
1,1,204.49
1,1,24.01
2,4,60.84
2,4,5.76
2,4,23.04
2,4,4.84
