Sesion,Subjuego,Periodo,EA,EB,EC,n_EA,n_EB,n_EC,n_EA,n_EB,n_EC,Nivel,Rango
1,1,1,100,86,29,Nm0,Nm0,N1m2,0,0,1.5,N-0,51-100
1,1,2,33,71,14,N1,Nm0,N3,1,0,3,N0,45-50
1,1,3,27,30,2,N1m2,N1,Nm3,1.5,1,3.5,N0-1,38-44
1,1,4,7,11,19,Nm3,Nm3,N2m3,3.5,3.5,2.5,N1,30-37
1,2,5,23,54,90,N2,Nm0,Nm0,2,0,0,N1-2,26-29
1,2,6,33,26,47,N1,N1m2,N0,1,1.5,0,N2,20-25
1,2,7,14,25,30,N3,N2,N1,3,2,1,N2-3,17-19
1,2,8,7,26,9,Nm3,N1m2,Nm3,3.5,1.5,3.5,N3,13-16
2,1,1,100,30,58,Nm0,N1,Nm0,0,1,0,N+3,0-12
2,1,2,40,45,52,N0m1,N0,Nm0,0.5,0,0,,
2,1,3,60,35,35,Nm0,N1,N1,0,1,1,,
2,1,4,28,25,40,N1m2,N2,N0m1,1.5,2,0.5,,
2,2,5,25,89,82,N2,Nm0,Nm0,2,0,0,,
2,2,6,20,19,56,N2,N2m3,Nm0,2,2.5,0,,
2,2,7,45,63,17,N0,Nm0,N2m3,0,0,2.5,,
2,2,8,15,27,24,N3,N1m2,N2,3,1.5,2,,
3,1,1,96,32,84,Nm0,N1,Nm0,0,1,0,,
3,1,2,25,24,63,N2,N2,Nm0,2,2,0,,
3,1,3,3,35,27,Nm3,N1,N1m2,3.5,1,1.5,,
3,1,4,81,70,17,Nm0,Nm0,N2m3,0,0,2.5,,
3,2,5,16,60,6,N3,Nm0,Nm3,3,0,3.5,,
3,2,6,32,25,23,N1,N2,N2,1,2,2,,
3,2,7,12,22,16,Nm3,N2,N3,3.5,2,3,,
3,2,8,55,14,6,Nm0,N3,Nm3,0,3,3.5,,
4,1,1,12,36,24,Nm3,N1,N2,3.5,1,2,,
4,1,2,15,72,5,N3,Nm0,Nm3,3,0,3.5,,
4,1,3,24,12,28,N2,Nm3,N1m2,2,3.5,1.5,,
4,1,4,14,18,20,N3,N2m3,N2,3,2.5,2,,
4,2,5,15,35,20,N3,N1,N2,3,1,2,,
4,2,6,10,25,21,Nm3,N2,N2,3.5,2,2,,
4,2,7,25,15,13,N2,N3,N3,2,3,3,,
