Sesion,Subjuego,Periodo,EA,EB,EC,Promedio,Objetivo,Target - C1,Target - C2,Target - C3,B1a,B1b,BO1,BOP1,BA1,BAP1,DO1,DOP1,DA1,DAP1,DO1n,DOP1n,DA1n,DAP1n,DO1a,DOP1a,DA1a,DAP1a,DO1na,DOP1na,DA1na,DAP1na,W1,W1pre,W1post,G1,B2a,B2b,BO2,BOP2,BA2,BAP2,DO2,DOP2,DA2,DAP2,DO2n,DOP2n,DA2n,DAP2n,DO2a,DOP2a,DA2a,DAP2a,DO2na,DOP2na,DA2na,DAP2na,W2,W2pre,W2pos,G2,CC1,CC2,BO3,BOP3,BA3,BAP3,DO3,DOP3,DA3,DAP3,DO3n,DOP3n,DA3n,DAP3n,DO3a,DOP3a,DA3a,DAP3a,DO3na,DOP3na,DA3na,DAP3na,W3,W3pre,W3pos,G3,Puntos1,Puntos2,Puntos3,TA,TB,TC,
1,1,4,7,11,19,12.33333333,8.222222222,1.222222222,-2.777777778,-10.77777778,20,30,25,16.66666667,19,12.66666667,18,9.666666667,12,5.666666667,1.459459459,0.783783784,0.972972973,0.459459459,18,9.666666667,12,5.666666667,1.459459459,0.783783784,0.972972973,0.459459459,1,1,0,1,5,51,28,18.66666667,22.33333333,14.88888889,17,7.666666667,11.33333333,3.888888889,1.378378378,0.621621622,0.918918919,0.315315315,17,7.666666667,11.33333333,3.888888889,1.378378378,0.621621622,0.918918919,0.315315315,0,0,0,1,25,63,44,29.33333333,35.66666667,23.77777778,25,10.33333333,16.66666667,4.777777778,2.027027027,0.837837838,1.351351351,0.387387387,25,10.33333333,16.66666667,4.777777778,2.027027027,0.837837838,1.351351351,0.387387387,0,0,1,0,7,1,0,16,2,13,
1,2,5,23,54,90,55.66666667,37.11111111,14.11111111,-16.88888889,-52.88888889,20,60,40,26.66666667,34.33333333,22.88888889,17,3.666666667,11.33333333,-0.111111111,0.305389222,0.065868263,0.203592814,-0.001996008,17,3.666666667,11.33333333,0.111111111,0.305389222,0.065868263,0.203592814,0.001996008,1,0,1,1,85,45,65,43.33333333,61.33333333,40.88888889,11,-10.66666667,7.333333333,-13.11111111,0.19760479,-0.191616766,0.131736527,-0.235528942,11,10.66666667,7.333333333,13.11111111,0.19760479,0.191616766,0.131736527,0.235528942,0,1,0,1,75,99,87,58,88,58.66666667,-3,-32,-2,-31.33333333,-0.053892216,-0.574850299,-0.035928144,-0.562874251,3,32,2,31.33333333,0.053892216,0.574850299,0.035928144,0.562874251,0,0,0,0,6,1,0,,,,
2,1,4,28,25,40,31,20.66666667,-7.333333333,-4.333333333,-19.33333333,28,40,34,22.66666667,32,21.33333333,6,-5.333333333,4,-6.666666667,0.193548387,-0.172043011,0.129032258,-0.215053763,6,5.333333333,4,6.666666667,0.193548387,0.172043011,0.129032258,0.215053763,0,1,0,1,30,50,40,26.66666667,35,23.33333333,15,1.666666667,10,-1.666666667,0.483870968,0.053763441,0.322580645,-0.053763441,15,1.666666667,10,1.666666667,0.483870968,0.053763441,0.322580645,0.053763441,1,0,0,1,45,50,47.5,31.66666667,45,30,7.5,-8.333333333,5,-10,0.241935484,-0.268817204,0.161290323,-0.322580645,7.5,8.333333333,5,10,0.241935484,0.268817204,0.161290323,0.322580645,0,0,1,0,2,7,0,9,17,5,
2,2,5,25,89,82,65.33333333,43.55555556,18.55555556,-45.44444444,-38.44444444,30,50,40,26.66666667,35,23.33333333,15,1.666666667,10,-1.666666667,0.229591837,0.025510204,0.153061224,-0.025510204,15,1.666666667,10,1.666666667,0.229591837,0.025510204,0.153061224,0.025510204,1,1,1,1,9,21,15,10,39.66666667,26.44444444,-74,-79,-49.33333333,-62.55555556,-1.132653061,-1.209183673,-0.755102041,-0.957482993,74,79,49.33333333,62.55555556,1.132653061,1.209183673,0.755102041,0.957482993,0,0,0,1,11,26,18.5,12.33333333,39.66666667,26.44444444,-63.5,-69.66666667,-42.33333333,-55.55555556,-0.971938776,-1.066326531,-0.647959184,-0.850340136,63.5,69.66666667,42.33333333,55.55555556,0.971938776,1.066326531,0.647959184,0.850340136,0,0,0,1,6,1,1,,,,
4,1,4,14,18,20,17.33333333,11.55555556,-2.444444444,-6.444444444,-8.444444444,20,16,18,12,16.66666667,11.11111111,4,-2,2.666666667,-2.888888889,0.230769231,-0.115384615,0.153846154,-0.166666667,4,2,2.666666667,2.888888889,0.230769231,0.115384615,0.153846154,0.166666667,1,0,1,0,26,32,29,19.33333333,25.33333333,16.88888889,11,1.333333333,7.333333333,-1.111111111,0.634615385,0.076923077,0.423076923,-0.064102564,11,1.333333333,7.333333333,1.111111111,0.634615385,0.076923077,0.423076923,0.064102564,0,0,0,0,18,32,25,16.66666667,23.33333333,15.55555556,5,-3.333333333,3.333333333,-4.444444444,0.288461538,-0.192307692,0.192307692,-0.256410256,5,3.333333333,3.333333333,4.444444444,0.288461538,0.192307692,0.192307692,0.256410256,0,1,0,1,8,0,1,23,10,1,
4,2,5,15,35,20,23.33333333,15.55555556,0.555555556,-19.44444444,-4.444444444,6,20,13,8.666666667,13.66666667,9.111111111,-2,-6.333333333,-1.333333333,-5.888888889,-0.085714286,-0.271428571,-0.057142857,-0.252380952,2,6.333333333,1.333333333,5.888888889,0.085714286,0.271428571,0.057142857,0.252380952,1,1,0,0,40,70,55,36.66666667,48.33333333,32.22222222,20,1.666666667,13.33333333,-2.777777778,0.857142857,0.071428571,0.571428571,-0.119047619,20,1.666666667,13.33333333,2.777777778,0.857142857,0.071428571,0.571428571,0.119047619,0,0,0,0,7,17,12,8,14.66666667,9.777777778,-8,-12,-5.333333333,-10.22222222,-0.342857143,-0.514285714,-0.228571429,-0.438095238,8,12,5.333333333,10.22222222,0.342857143,0.514285714,0.228571429,0.438095238,0,0,1,1,7,0,1,,,,
5,1,4,3,8,11,7.333333333,4.888888889,1.888888889,-3.111111111,-6.111111111,10,12,11,7.333333333,8.333333333,5.555555556,8,4.333333333,5.333333333,2.555555556,1.090909091,0.590909091,0.727272727,0.348484848,8,4.333333333,5.333333333,2.555555556,1.090909091,0.590909091,0.727272727,0.348484848,1,1,0,0,17,19,18,12,14.66666667,9.777777778,10,4,6.666666667,1.777777778,1.363636364,0.545454545,0.909090909,0.242424242,10,4,6.666666667,1.777777778,1.363636364,0.545454545,0.909090909,0.242424242,0,0,1,0,7,15,11,7.333333333,11,7.333333333,0,-3.666666667,0,-3.666666667,0,-0.5,0,-0.5,0,3.666666667,0,3.666666667,0,0.5,0,0.5,0,0,0,1,8,0,1,15,12,3,
5,2,5,22,8,65,31.66666667,21.11111111,-0.888888889,13.11111111,-43.88888889,65,70,67.5,45,52.33333333,34.88888889,45.5,23,30.33333333,12.88888889,1.436842105,0.726315789,0.957894737,0.407017544,45.5,23,30.33333333,12.88888889,1.436842105,0.726315789,0.957894737,0.407017544,1,1,0,1,15,23,19,12.66666667,15.33333333,10.22222222,11,4.666666667,7.333333333,2.222222222,0.347368421,0.147368421,0.231578947,0.070175439,11,4.666666667,7.333333333,2.222222222,0.347368421,0.147368421,0.231578947,0.070175439,0,0,0,1,30,70,50,33.33333333,55,36.66666667,-15,-31.66666667,-10,-28.33333333,-0.473684211,-1,-0.315789474,-0.894736842,15,31.66666667,10,28.33333333,0.473684211,1,0.315789474,0.894736842,0,0,1,0,7,1,0,,,,
6,1,4,23,24,23,23.33333333,15.55555556,-7.444444444,-8.444444444,-7.444444444,17,15,16,10.66666667,18.33333333,12.22222222,-7,-12.33333333,-4.666666667,-10.77777778,-0.3,-0.528571429,-0.2,-0.461904762,7,12.33333333,4.666666667,10.77777778,0.3,0.528571429,0.2,0.461904762,0,1,0,0,29,50,39.5,26.33333333,34.33333333,22.88888889,15.5,2.333333333,10.33333333,-1.111111111,0.664285714,0.1,0.442857143,-0.047619048,15.5,2.333333333,10.33333333,1.111111111,0.664285714,0.1,0.442857143,0.047619048,0,0,0,0,30,35,32.5,21.66666667,29.33333333,19.55555556,9.5,-1.333333333,6.333333333,-3.444444444,0.407142857,-0.057142857,0.271428571,-0.147619048,9.5,1.333333333,6.333333333,3.444444444,0.407142857,0.057142857,0.271428571,0.147619048,1,0,1,0,3,0,3,17,1,9,
6,2,5,13,12,38,21,14,1,2,-24,27,19,23,15.33333333,19.66666667,13.11111111,10,2.333333333,6.666666667,0.111111111,0.476190476,0.111111111,0.317460317,0.005291005,10,2.333333333,6.666666667,0.111111111,0.476190476,0.111111111,0.317460317,0.005291005,1,,,0,6,3,4.5,3,7,4.666666667,-7.5,-9,-5,-7.333333333,-0.357142857,-0.428571429,-0.238095238,-0.349206349,7.5,9,5,7.333333333,0.357142857,0.428571429,0.238095238,0.349206349,0,,,0,61,18,39.5,26.33333333,39,26,1.5,-11.66666667,1,-12,0.071428571,-0.555555556,0.047619048,-0.571428571,1.5,11.66666667,1,12,0.071428571,0.555555556,0.047619048,0.571428571,0,,,1,6,0,1,,,,
7,1,4,15,68,24,35.66666667,23.77777778,8.777777778,-44.22222222,-0.222222222,23,18,20.5,13.66666667,18.66666667,12.44444444,5.5,-1.333333333,3.666666667,-2.555555556,0.154205607,-0.037383178,0.102803738,-0.07165109,5.5,1.333333333,3.666666667,2.555555556,0.154205607,0.037383178,0.102803738,0.07165109,0,,,0,42,9,25.5,17,39.66666667,26.44444444,-42.5,-51,-28.33333333,-41.55555556,-1.191588785,-1.429906542,-0.794392523,-1.165109034,42.5,51,28.33333333,41.55555556,1.191588785,1.429906542,0.794392523,1.165109034,0,,,0,28,52,40,26.66666667,34.66666667,23.11111111,16,2.666666667,10.66666667,-0.888888889,0.448598131,0.074766355,0.299065421,-0.024922118,16,2.666666667,10.66666667,0.888888889,0.448598131,0.074766355,0.299065421,0.024922118,1,,,0,1,0,6,14,2,13,
7,2,5,28,58,20,35.33333333,23.55555556,-4.444444444,-34.44444444,3.555555556,35,47,41,27.33333333,36.66666667,24.44444444,13,-0.666666667,8.666666667,-3.555555556,0.367924528,-0.018867925,0.245283019,-0.100628931,13,0.666666667,8.666666667,3.555555556,0.367924528,0.018867925,0.245283019,0.100628931,0,,,0,4,60,32,21.33333333,40.66666667,27.11111111,-26,-36.66666667,-17.33333333,-30.88888889,-0.735849057,-1.037735849,-0.490566038,-0.874213836,26,36.66666667,17.33333333,30.88888889,0.735849057,1.037735849,0.490566038,0.874213836,0,,,0,5,31,18,12,18.66666667,12.44444444,-2,-8,-1.333333333,-7.555555556,-0.056603774,-0.226415094,-0.037735849,-0.213836478,2,8,1.333333333,7.555555556,0.056603774,0.226415094,0.037735849,0.213836478,1,,,1,0,0,7,,,,
8,1,4,25,27,30,27.33333333,18.22222222,-6.777777778,-8.777777778,-11.77777778,30,20,25,16.66666667,25,16.66666667,0,-8.333333333,0,-8.333333333,0,-0.304878049,0,-0.304878049,0,8.333333333,0,8.333333333,0,0.304878049,0,0.304878049,1,,,2,20,28,24,16,25,16.66666667,-3,-11,-2,-10.33333333,-0.109756098,-0.402439024,-0.073170732,-0.37804878,3,11,2,10.33333333,0.109756098,0.402439024,0.073170732,0.37804878,0,,,2,25,35,30,20,30,20,0,-10,0,-10,0,-0.365853659,0,-0.365853659,0,10,0,10,0,0.365853659,0,0.365853659,0,,,1,7,2,1,18,7,8,
8,2,5,40,26,16,27.33333333,18.22222222,-21.77777778,-7.777777778,2.222222222,50,30,40,26.66666667,40,26.66666667,0,-13.33333333,0,-13.33333333,0,-0.487804878,0,-0.487804878,0,13.33333333,0,13.33333333,0,0.487804878,0,0.487804878,0,,,0,70,32,51,34,42.66666667,28.44444444,25,8,16.66666667,2.444444444,0.914634146,0.292682927,0.609756098,0.089430894,25,8,16.66666667,2.444444444,0.914634146,0.292682927,0.609756098,0.089430894,0,,,0,23,58,40.5,27,32.33333333,21.55555556,24.5,11,16.33333333,5.555555556,0.896341463,0.402439024,0.597560976,0.203252033,24.5,11,16.33333333,5.555555556,0.896341463,0.402439024,0.597560976,0.203252033,1,,,1,1,0,7,,,,
9,1,4,25,35,34,31.33333333,20.88888889,-4.111111111,-14.11111111,-13.11111111,23,28,25.5,17,25.33333333,16.88888889,0.5,-8,0.333333333,-8.111111111,0.015957447,-0.255319149,0.010638298,-0.258865248,0.5,8,0.333333333,8.111111111,0.015957447,0.255319149,0.010638298,0.258865248,1,,,1,45,35,40,26.66666667,38.33333333,25.55555556,5,-8.333333333,3.333333333,-9.444444444,0.159574468,-0.265957447,0.106382979,-0.30141844,5,8.333333333,3.333333333,9.444444444,0.159574468,0.265957447,0.106382979,0.30141844,0,,,1,35,25,30,20,31.33333333,20.88888889,-4,-14,-2.666666667,-13.11111111,-0.127659574,-0.446808511,-0.085106383,-0.418439716,4,14,2.666666667,13.11111111,0.127659574,0.446808511,0.085106383,0.418439716,0,,,2,6,1,2,19,10,3,
9,2,5,55,60,18,44.33333333,29.55555556,-25.44444444,-30.44444444,11.55555556,80,15,47.5,31.66666667,50,33.33333333,-7.5,-23.33333333,-5,-21.66666667,-0.169172932,-0.526315789,-0.112781955,-0.488721805,7.5,23.33333333,5,21.66666667,0.169172932,0.526315789,0.112781955,0.488721805,0,,,1,30,20,25,16.66666667,36.66666667,24.44444444,-35,-43.33333333,-23.33333333,-35.55555556,-0.789473684,-0.977443609,-0.526315789,-0.802005013,35,43.33333333,23.33333333,35.55555556,0.789473684,0.977443609,0.526315789,0.802005013,0,,,1,22,30,26,17.33333333,23.33333333,15.55555556,8,-0.666666667,5.333333333,-2.444444444,0.180451128,-0.015037594,0.120300752,-0.055137845,8,0.666666667,5.333333333,2.444444444,0.180451128,0.015037594,0.120300752,0.055137845,1,,,0,1,1,6,,,,
